id_review,caption,relative_date,retrieval_date,absolute_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUR5bUtyQm9RRRAB,"Front desk staff was so welcoming, room was impeccable and service was nothing but the best",6 hours ago,2021-02-23 14:34:37.260653,2021-02-23 08:34:37,5.0,Katrina McLeod,6,0,https://www.google.com/maps/contrib/103666438596259351163/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR5aU9MMXBRRRAB,,a day ago,2021-02-23 14:34:37.264652,2021-02-22 14:34:37,4.0,Mike Dickey,15,0,https://www.google.com/maps/contrib/110415420393943489392/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN5ajc3ZHFBRRAB,Amazing place to spend time. Offer everything you might need for active or relaxing vacation or just weekend,5 days ago,2021-02-23 14:34:37.269660,2021-02-18 14:34:37,5.0,Leonid Glazer,0,0,https://www.google.com/maps/contrib/113220829067033244573/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5MTdlOERREAE,"The Bayshore building is very clean, but it's evident that the building is aging. Some of the things like the crown moulding have separated joints, but overall it's a nice clean place and I was quite happy with it. It was great that there are so many trails to take advantage of for people like me that love the outdoors. I used the cross-country ski and snowshoe trails right on site and also did a little bit of ice skating. At the time of my stay there was no indoor dining (thanks COVID) and ended up getting a bit of a mix of room service and going into town for some takeout. The food from the room service was excellent but a little pricey, but the convenience made up for the higher price though. Overall, I would recommend Deerhurst Resort and really enjoyed my stay. I hope to visit again.",6 days ago,2021-02-23 14:34:37.272631,2021-02-17 14:34:37,4.0,Steven Ercolani,0,0,https://www.google.com/maps/contrib/113893853149857269296/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5eTdiVlFREAE,,a week ago,2021-02-23 14:34:37.277620,2021-02-16 14:34:37,2.0,blerissa muhameti,0,0,https://www.google.com/maps/contrib/109221242397762050777/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5aWVHVlJBEAE,,2 weeks ago,2021-02-23 14:34:37.281571,2021-02-09 14:34:37,4.0,Sarah De'Ath,0,0,https://www.google.com/maps/contrib/111545255793654336088/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN5a2RXYW5RRRAB,Such a relaxing resort with accommodations for every type of preference and budget. Some are older and some are newer. Some large and some small.  Felt very safe with all their COVID precautions.  Check in was a breeze from our car,2 weeks ago,2021-02-23 14:34:37.284567,2021-02-09 14:34:37,5.0,S.J. Hanlon,0,0,https://www.google.com/maps/contrib/100827966839340418549/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN5c0s3TjFRRRAB,,a month ago,2021-02-23 14:34:37.288553,2021-01-23 14:34:37,5.0,Kyle Ogden,1,0,https://www.google.com/maps/contrib/110278099486529022507/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURTdjhYQzR3RRAB,Just drove threw area,a month ago,2021-02-23 14:34:37.291547,2021-01-23 14:34:37,4.0,Ken Groulx,17,0,https://www.google.com/maps/contrib/113746802071382469616/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURTaS0tVU9nEAE,,a month ago,2021-02-23 14:34:37.296572,2021-01-23 14:34:37,5.0,Apoorva Mishra,0,0,https://www.google.com/maps/contrib/103151711747066171321/reviews?hl=en
